Year Month,Postal Code,Customer Class,Total Gallons
201711,78702,Irrigation - Multi-Family,"809,400"
201210,78723,Irrigation - Multi-Family,"324,600"
201711,78613,Irrigation - Multi-Family,"906,300"
201804,78723,Multi-Family,"22,497,300"
201503,78750,Irrigation - Residential,"1,200"
201602,78748,Irrigation - Multi-Family,"4,155,400"
201610,78756,Irrigation - Residential,"36,500"
201506,78757,Irrigation - Residential,"10,600"
201606,78749,Irrigation - Residential,"46,000"
201303,78729,Multi-Family,"20,737,700"
201701,78758,Irrigation - Residential,"19,500"
201311,78758,Irrigation - Residential,"6,900"
201610,78660,Multi-Family,"4,800,300"
201301,78705,Irrigation - Residential,"66,000"
201411,78704,Irrigation - Residential,"228,800"
201310,78731,Irrigation - Residential,"662,700"
201211,78732,Residential,"16,900"
201306,78757,Residential,"38,206,100"
201307,78727,Irrigation - Residential,"17,600"
201305,78735,Multi-Family,"9,892,400"
201601,78705,Irrigation - Residential,"14,900"
201801,78749,Residential,"49,257,100"
201401,78749,Irrigation - Multi-Family,"1,700,100"
201302,78703,Irrigation - Multi-Family,"380,700"
201208,78726,Irrigation - Residential,"56,400"
201310,78712,Residential,0
201306,78744,Irrigation - Residential,"2,500"
201408,78751,Irrigation - Residential,"99,400"
201805,78617,Multi-Family,"4,220,600"
201507,78660,Multi-Family,"4,414,200"
201405,78729,Residential,"24,754,500"
201208,78745,Irrigation - Residential,"152,100"
201408,78747,Residential,"31,841,300"
201501,78759,Irrigation - Residential,"25,000"
201207,78727,Multi-Family,"22,301,800"
201212,78754,Residential,"20,045,700"
201806,78736,Multi-Family,"2,988,200"
201711,78726,Residential,"16,732,000"
201411,78751,Residential,"16,345,600"
201604,78746,Irrigation - Multi-Family,"508,200"
201702,78724,Multi-Family,"10,907,800"
201310,78725,Multi-Family,"346,600"
201405,78745,Irrigation - Residential,"56,600"
201702,78727,Residential,"26,919,100"
201202,78717,Irrigation - Multi-Family,"1,186,400"
201509,78723,Multi-Family,"24,163,800"
201311,78748,Irrigation - Multi-Family,"4,916,400"
201508,78719,Multi-Family,"523,400"
201403,78660,Irrigation - Residential,"9,000"
201609,78617,Irrigation - Residential,"5,300"
201512,78725,Multi-Family,"204,400"
201505,78703,Multi-Family,"11,738,600"
201411,78741,Multi-Family,"82,608,000"
201608,78744,Irrigation - Residential,"61,300"
201710,78753,Irrigation - Residential,0
201307,78751,Irrigation - Multi-Family,"609,700"
201608,78746,Irrigation - Multi-Family,"1,412,200"
201510,78737,Irrigation - Residential,"19,100"
201603,78723,Irrigation - Multi-Family,"27,200"
201607,78747,Multi-Family,"8,309,200"
201405,78652,Multi-Family,"15,700"
201510,78747,Irrigation - Residential,"30,800"
201301,78744,Irrigation - Residential,"1,400"
201508,78748,Irrigation - Residential,"86,700"
201803,78742,Irrigation - Multi-Family,"32,700"
201306,78724,Multi-Family,"12,552,000"
201210,78729,Multi-Family,"24,221,800"
201308,78721,Irrigation - Multi-Family,"244,800"
201208,78725,Multi-Family,"389,300"
201204,78660,Irrigation - Residential,"12,900"
201206,78724,Residential,"25,463,800"
201512,78727,Irrigation - Residential,"4,200"
201701,78744,Irrigation - Residential,"43,200"
201703,78724,Irrigation - Residential,"24,900"
201307,78701,Irrigation - Multi-Family,"343,400"
201305,78753,Irrigation - Residential,"7,400"
201603,78701,Irrigation - Residential,"17,800"
201411,78723,Irrigation - Multi-Family,"274,800"
201501,78721,Irrigation - Multi-Family,"26,000"
201710,78617,Residential,"18,600,200"
201510,78717,Irrigation - Multi-Family,"8,714,500"
201311,78721,Residential,"13,180,800"
201411,78730,Residential,"31,929,300"
201408,78652,Multi-Family,"32,000"
201508,78747,Multi-Family,"8,159,500"
201709,78703,Irrigation - Multi-Family,"915,500"
201401,78746,Irrigation - Multi-Family,"285,900"
201804,78736,Multi-Family,"3,580,800"
201204,78753,Residential,"42,503,200"
201503,78752,Residential,"10,594,000"
201303,78703,Multi-Family,"11,535,900"
201508,78756,Residential,"17,126,100"
201203,78652,Multi-Family,"21,100"
201306,78730,Residential,"16,378,200"
201204,78717,Multi-Family,"7,178,500"
201203,78731,Multi-Family,"18,042,700"
201601,78719,Multi-Family,"411,900"
201702,78617,Irrigation - Multi-Family,"4,600"
201610,78759,Irrigation - Residential,"150,700"
201401,78757,Residential,"30,365,400"
201405,78703,Irrigation - Multi-Family,"613,900"
201609,78702,Residential,"26,124,700"
